,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Market Sizes | Historical/Forecast,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2017,2018,2019,2020,2021,2022,2023
"Hong Kong, China",Asian Speciality Drinks,Off-trade Volume,million litres,-,17.3,17.6,18.1,18.4,18.9,19.0,19.5
"Hong Kong, China",Asian Speciality Drinks,Off-trade Value RSP,HKD million,Current Prices,286.6,294.6,305.5,323.4,334.1,339.8,360.4
India,HW Soft Drinks,Retail Volume,million litres,-,137.7,152.9,170.7,171.8,195.3,223.0,257.3
India,HW Soft Drinks,Retail Value RSP,INR million,Current Prices,"24,083.0","27,783.2","32,045.0","35,177.8","42,143.4","51,457.1","64,328.7"
India,Soft Drinks,Off-trade Volume,million litres,-,"12,178.5","14,015.9","16,118.8","14,573.5","15,815.8","17,613.3","19,648.6"
India,Soft Drinks,Off-trade Value RSP,INR million,Current Prices,"387,079.2","450,692.4","524,532.7","509,715.0","586,008.2","685,249.5","799,890.7"
India,Bottled Water,Off-trade Volume,million litres,-,"6,955.6","8,305.9","9,882.9","8,876.4","9,690.2","11,075.5","12,668.1"
India,Bottled Water,Off-trade Value RSP,INR million,Current Prices,"90,902.6","114,809.3","144,949.6","140,093.1","165,606.6","207,054.7","257,898.1"
India,Carbonates,Off-trade Volume,million litres,-,"3,386.3","3,674.0","3,982.0","3,343.4","3,527.9","3,726.7","3,934.3"
India,Carbonates,Off-trade Value RSP,INR million,Current Prices,"149,369.8","165,210.4","181,944.0","155,259.4","168,181.5","185,116.4","202,713.7"
India,Regular Carbonates,Off-trade Volume,million litres,-,"3,378.6","3,666.1","3,973.9","3,336.1","3,520.1","3,718.5","3,925.5"
India,Regular Carbonates,Off-trade Value RSP,INR million,Current Prices,"148,934.2","164,759.5","181,480.3","154,838.4","167,725.8","184,615.7","202,166.1"
India,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,7.7,7.9,8.1,7.3,7.8,8.3,8.8
India,Reduced Sugar Carbonates,Off-trade Value RSP,INR million,Current Prices,435.6,450.9,463.7,420.9,455.7,500.7,547.6
India,Concentrates,Off-trade Volume,million litres,-,42.6,44.1,45.5,46.9,48.4,49.9,51.5
