,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Market Sizes | Historical/Forecast,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2017,2018,2019,2020,2021,2022,2023
Guatemala,Sports Drinks,Off-trade Value RSP,GTQ million,Current Prices,768.6,811.8,921.9,872.7,959.8,973.6,"1,044.6"
Guatemala,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Guatemala,Asian Speciality Drinks,Off-trade Value RSP,GTQ million,Current Prices,-,-,-,-,-,-,-
Honduras,Soft Drinks,Off-trade Volume,million litres,-,"1,164.7","1,208.0","1,197.4","1,119.1","1,251.8","1,318.0","1,361.3"
Honduras,Soft Drinks,Off-trade Value RSP,HNL million,Current Prices,"25,617.9","26,876.7","26,762.8","25,833.5","30,463.7","35,934.2","39,133.4"
Honduras,Bottled Water,Off-trade Volume,million litres,-,297.3,310.4,324.5,292.2,330.0,355.1,370.2
Honduras,Bottled Water,Off-trade Value RSP,HNL million,Current Prices,"3,683.3","3,981.2","4,288.7","3,960.0","4,722.2","5,607.6","6,189.5"
Honduras,Carbonates,Off-trade Volume,million litres,-,770.7,794.9,764.2,735.4,814.9,837.8,856.8
Honduras,Carbonates,Off-trade Value RSP,HNL million,Current Prices,"18,058.9","18,710.3","17,958.4","17,849.4","20,688.3","23,432.0","25,184.8"
Honduras,Regular Carbonates - modelled,Off-trade Volume,million litres,-,728.0,751.4,720.0,697.2,772.5,791.7,807.5
Honduras,Regular Carbonates - modelled,Off-trade Value RSP,HNL million,Current Prices,"17,027.2","17,628.9","16,841.3","16,845.3","19,521.6","22,032.9","23,616.4"
Honduras,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,42.7,43.5,44.2,38.2,42.4,46.1,49.3
Honduras,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,HNL million,Current Prices,"1,031.7","1,081.4","1,117.1","1,004.1","1,166.7","1,399.2","1,568.4"
Honduras,Concentrates,Off-trade Volume,million litres,-,0.6,0.6,0.6,0.6,0.7,0.7,0.6
Honduras,Concentrates,Off-trade Value RSP,HNL million,Current Prices,370.6,380.2,392.7,430.9,465.3,521.1,548.3
Honduras,Juice,Off-trade Volume,million litres,-,73.8,79.0,84.0,71.2,80.5,92.0,98.4
Honduras,Juice,Off-trade Value RSP,HNL million,Current Prices,"2,376.5","2,602.4","2,843.7","2,449.2","2,994.9","3,812.1","4,302.3"
Honduras,RTD Coffee,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Honduras,RTD Coffee,Off-trade Value RSP,HNL million,Current Prices,-,-,-,-,-,-,-
Honduras,RTD Tea,Off-trade Volume,million litres,-,14.4,14.8,15.3,11.7,14.8,19.3,21.1
Honduras,RTD Tea,Off-trade Value RSP,HNL million,Current Prices,616.1,646.6,678.7,524.7,695.4,"1,378.6","1,586.1"
Honduras,Energy Drinks,Off-trade Volume,million litres,-,4.7,4.9,5.2,5.9,8.1,9.5,9.9
Honduras,Energy Drinks,Off-trade Value RSP,HNL million,Current Prices,379.4,415.3,453.3,531.9,766.8,991.1,"1,095.1"
Honduras,Sports Drinks,Off-trade Volume,million litres,-,3.3,3.4,3.5,2.0,2.8,3.7,4.2
Honduras,Sports Drinks,Off-trade Value RSP,HNL million,Current Prices,133.1,140.7,147.3,87.3,130.7,191.7,227.2
Honduras,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Honduras,Asian Speciality Drinks,Off-trade Value RSP,HNL million,Current Prices,-,-,-,-,-,-,-
Mexico,HW Soft Drinks,Retail Volume,million litres,-,"4,641.9","4,826.4","4,950.6","4,940.2","4,975.6","5,067.8","5,173.2"
Mexico,HW Soft Drinks,Retail Value RSP,MXN million,Current Prices,"96,651.3","103,539.1","110,291.7","114,266.8","120,315.2","128,345.5","136,893.6"
Mexico,Soft Drinks,Off-trade Volume,million litres,-,"23,750.0","24,200.5","24,700.3","25,163.4","25,142.5","25,915.7","26,612.4"
Mexico,Soft Drinks,Off-trade Value RSP,MXN million,Current Prices,"391,909.4","418,231.7","443,272.0","470,949.9","499,609.8","537,649.5","584,426.6"
Mexico,Bottled Water,Off-trade Volume,million litres,-,"4,572.3","4,741.0","4,887.5","4,936.9","4,741.2","4,846.8","4,969.6"
Mexico,Bottled Water,Off-trade Value RSP,MXN million,Current Prices,"50,967.2","54,592.4","59,101.7","62,487.2","64,186.1","69,516.3","75,480.7"
Mexico,Carbonates,Off-trade Volume,million litres,-,"15,664.2","15,776.3","16,013.8","16,412.7","16,412.9","16,901.4","17,333.1"
Mexico,Carbonates,Off-trade Value RSP,MXN million,Current Prices,"249,095.7","265,418.4","279,394.3","299,953.6","314,799.6","333,722.6","362,378.5"
Mexico,Regular Carbonates,Off-trade Volume,million litres,-,"15,125.0","15,097.4","15,314.4","15,712.6","15,685.0","16,136.7","16,531.4"
Mexico,Regular Carbonates,Off-trade Value RSP,MXN million,Current Prices,"241,600.5","255,553.1","268,677.0","288,807.1","302,491.3","319,672.7","346,804.7"
Mexico,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,539.2,679.0,699.5,700.1,727.9,764.7,801.7
Mexico,Reduced Sugar Carbonates,Off-trade Value RSP,MXN million,Current Prices,"7,495.1","9,865.3","10,717.3","11,146.5","12,308.3","14,049.9","15,573.8"
Mexico,Concentrates,Off-trade Volume,million litres,-,20.9,21.4,22.0,23.0,23.2,23.4,23.5
Mexico,Concentrates,Off-trade Value RSP,MXN million,Current Prices,"17,975.9","17,580.1","18,669.4","20,432.7","21,675.2","23,205.7","24,679.7"
Mexico,Juice,Off-trade Volume,million litres,-,"2,769.5","2,876.6","2,947.6","3,005.4","3,072.7","3,205.9","3,315.2"
Mexico,Juice,Off-trade Value RSP,MXN million,Current Prices,"50,153.8","54,633.2","58,204.9","61,166.2","66,912.5","75,288.6","82,355.0"
Mexico,RTD Coffee,Off-trade Volume,million litres,-,8.3,8.8,9.0,7.3,7.2,7.4,7.7
Mexico,RTD Coffee,Off-trade Value RSP,MXN million,Current Prices,571.4,620.4,657.0,525.4,540.8,599.8,656.5
Mexico,RTD Tea,Off-trade Volume,million litres,-,196.9,200.1,202.8,191.6,210.1,217.5,223.1
Mexico,RTD Tea,Off-trade Value RSP,MXN million,Current Prices,"4,283.6","4,507.9","4,741.2","4,664.4","5,452.2","6,045.9","6,581.0"
Mexico,Energy Drinks,Off-trade Volume,million litres,-,139.2,175.1,203.8,200.7,219.0,233.0,245.1
Mexico,Energy Drinks,Off-trade Value RSP,MXN million,Current Prices,"8,991.0","10,169.6","11,049.6","10,593.5","12,123.4","13,660.8","15,175.0"
Mexico,Sports Drinks,Off-trade Volume,million litres,-,378.8,401.2,413.8,385.8,456.3,480.3,495.1
Mexico,Sports Drinks,Off-trade Value RSP,MXN million,Current Prices,"9,870.9","10,709.4","11,454.0","11,126.9","13,920.0","15,610.0","17,120.2"
Mexico,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Mexico,Asian Speciality Drinks,Off-trade Value RSP,MXN million,Current Prices,-,-,-,-,-,-,-
Panama,Soft Drinks,Off-trade Volume,million litres,-,424.7,440.7,457.0,397.3,428.3,472.7,509.7
Panama,Soft Drinks,Off-trade Value RSP,USD million,Current Prices,513.6,536.0,555.6,450.1,516.2,604.9,673.4
Panama,Bottled Water,Off-trade Volume,million litres,-,111.6,120.8,130.4,127.0,133.4,143.7,153.7
Panama,Bottled Water,Off-trade Value RSP,USD million,Current Prices,74.1,81.4,88.5,83.1,89.0,100.7,111.0
Panama,Carbonates,Off-trade Volume,million litres,-,200.8,202.6,203.8,174.4,196.7,214.1,228.5
Panama,Carbonates,Off-trade Value RSP,USD million,Current Prices,245.2,250.1,252.9,195.6,241.6,279.0,306.7
Panama,Regular Carbonates - modelled,Off-trade Volume,million litres,-,188.3,190.0,191.1,159.2,178.5,194.0,207.1
Panama,Regular Carbonates - modelled,Off-trade Value RSP,USD million,Current Prices,228.3,232.5,235.0,181.3,224.1,256.3,281.9
Panama,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,12.5,12.6,12.7,15.1,18.2,20.1,21.4
Panama,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,USD million,Current Prices,17.0,17.6,17.9,14.3,17.6,22.6,24.8
Panama,Concentrates,Off-trade Volume,million litres,-,3.3,3.4,3.4,3.4,3.5,3.6,3.6
Panama,Concentrates,Off-trade Value RSP,USD million,Current Prices,23.0,23.6,24.0,23.9,25.1,26.9,27.8
Panama,Juice,Off-trade Volume,million litres,-,82.0,86.2,90.8,68.2,66.3,77.8,87.4
Panama,Juice,Off-trade Value RSP,USD million,Current Prices,122.6,129.9,137.1,102.3,105.3,128.6,148.5
Panama,RTD Coffee,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Panama,RTD Coffee,Off-trade Value RSP,USD million,Current Prices,-,-,-,-,-,-,-
Panama,RTD Tea,Off-trade Volume,million litres,-,12.3,12.8,13.3,12.0,12.9,14.8,15.7
Panama,RTD Tea,Off-trade Value RSP,USD million,Current Prices,10.1,10.7,11.2,9.9,10.9,13.1,14.2
Panama,Energy Drinks,Off-trade Volume,million litres,-,3.4,3.7,4.0,4.2,5.0,6.2,7.1
Panama,Energy Drinks,Off-trade Value RSP,USD million,Current Prices,15.4,16.9,18.3,18.6,22.3,28.7,33.8
Panama,Sports Drinks,Off-trade Volume,million litres,-,11.3,11.3,11.3,8.0,10.4,12.6,13.7
Panama,Sports Drinks,Off-trade Value RSP,USD million,Current Prices,23.2,23.5,23.6,16.7,22.0,27.9,31.4
Panama,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Panama,Asian Speciality Drinks,Off-trade Value RSP,USD million,Current Prices,-,-,-,-,-,-,-
Paraguay,Soft Drinks,Off-trade Volume,million litres,-,687.4,700.1,715.6,721.3,700.0,734.4,761.1
Paraguay,Soft Drinks,Off-trade Value RSP,PYG million,Current Prices,"3,104,302.4","3,210,405.1","3,325,236.7","3,474,326.0","3,607,047.0","4,102,443.3","4,453,660.2"
Paraguay,Bottled Water,Off-trade Volume,million litres,-,180.6,187.6,195.1,208.3,220.3,231.8,239.7
Paraguay,Bottled Water,Off-trade Value RSP,PYG million,Current Prices,"446,540.6","490,524.9","536,633.7","587,736.5","666,146.0","761,800.5","832,285.4"
Paraguay,Carbonates,Off-trade Volume,million litres,-,448.4,452.6,458.4,452.0,416.6,436.5,453.0
Paraguay,Carbonates,Off-trade Value RSP,PYG million,Current Prices,"1,953,360.0","1,976,139.3","2,006,974.9","2,082,023.0","2,057,948.7","2,330,761.9","2,528,430.6"
Paraguay,Regular Carbonates - modelled,Off-trade Volume,million litres,-,415.1,418.8,424.2,431.8,379.2,393.5,405.2
Paraguay,Regular Carbonates - modelled,Off-trade Value RSP,PYG million,Current Prices,"1,868,211.1","1,891,008.9","1,920,823.4","1,993,285.7","1,878,483.2","2,106,234.4","2,267,681.0"
Paraguay,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,33.3,33.8,34.2,20.1,37.4,43.1,47.7
Paraguay,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,PYG million,Current Prices,"85,148.8","85,130.5","86,151.5","88,737.3","179,465.5","224,527.5","260,749.6"
Paraguay,Concentrates,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Paraguay,Concentrates,Off-trade Value RSP,PYG million,Current Prices,"115,895.9","119,962.0","122,893.9","128,347.9","132,482.8","144,979.9","148,875.5"
Paraguay,Juice,Off-trade Volume,million litres,-,45.4,46.3,47.2,43.5,44.4,45.0,45.5
Paraguay,Juice,Off-trade Value RSP,PYG million,Current Prices,"361,456.2","387,481.1","399,406.1","378,507.0","405,722.0","443,053.1","457,412.1"
Paraguay,RTD Coffee,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Paraguay,RTD Coffee,Off-trade Value RSP,PYG million,Current Prices,-,-,-,-,-,-,-
Paraguay,RTD Tea,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Paraguay,RTD Tea,Off-trade Value RSP,PYG million,Current Prices,-,-,-,-,-,-,-
Paraguay,Energy Drinks,Off-trade Volume,million litres,-,6.1,6.1,6.1,6.4,7.1,8.1,9.1
Paraguay,Energy Drinks,Off-trade Value RSP,PYG million,Current Prices,"157,204.9","157,377.8","159,525.1","171,755.9","202,718.6","249,245.3","293,824.0"
Paraguay,Sports Drinks,Off-trade Volume,million litres,-,6.9,7.5,8.9,11.0,11.6,13.0,13.9
Paraguay,Sports Drinks,Off-trade Value RSP,PYG million,Current Prices,"69,844.8","78,920.0","99,803.0","125,955.7","142,028.9","172,602.5","192,832.6"
Paraguay,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Paraguay,Asian Speciality Drinks,Off-trade Value RSP,PYG million,Current Prices,-,-,-,-,-,-,-
Peru,HW Soft Drinks,Retail Volume,million litres,-,486.7,503.0,510.3,418.4,426.7,437.2,442.5
Peru,HW Soft Drinks,Retail Value RSP,PEN million,Current Prices,"1,915.8","2,053.4","2,189.1","1,912.6","1,872.0","2,030.0","2,177.8"
Peru,Soft Drinks,Off-trade Volume,million litres,-,"3,159.8","3,120.8","3,077.4","2,567.1","2,825.9","3,027.7","3,099.9"
Peru,Soft Drinks,Off-trade Value RSP,PEN million,Current Prices,"8,594.2","8,867.5","9,025.5","7,867.7","8,498.0","9,706.9","10,478.7"
Peru,Bottled Water,Off-trade Volume,million litres,-,730.7,752.3,779.5,546.2,565.1,602.5,639.4
Peru,Bottled Water,Off-trade Value RSP,PEN million,Current Prices,"1,389.3","1,489.7","1,540.5","1,131.5","1,194.4","1,346.4","1,549.5"
Peru,Carbonates,Off-trade Volume,million litres,-,"1,800.8","1,752.3","1,689.6","1,486.5","1,620.3","1,718.4","1,704.0"
Peru,Carbonates,Off-trade Value RSP,PEN million,Current Prices,"4,710.2","4,703.0","4,667.9","4,264.9","4,401.8","5,109.2","5,332.0"
Peru,Regular Carbonates,Off-trade Volume,million litres,-,"1,724.5","1,670.6","1,600.9","1,409.4","1,534.3","1,636.7","1,623.5"
Peru,Regular Carbonates,Off-trade Value RSP,PEN million,Current Prices,"4,458.8","4,424.6","4,352.8","3,975.6","4,106.8","4,791.8","5,004.7"
Peru,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,76.3,81.7,88.7,77.1,86.0,81.7,80.5
Peru,Reduced Sugar Carbonates,Off-trade Value RSP,PEN million,Current Prices,251.4,278.4,315.1,289.3,295.0,317.4,327.3
Peru,Concentrates,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Peru,Concentrates,Off-trade Value RSP,PEN million,Current Prices,124.2,131.1,141.3,151.8,145.8,174.8,201.0
Peru,Juice,Off-trade Volume,million litres,-,372.3,358.2,344.2,307.7,337.8,396.2,430.6
Peru,Juice,Off-trade Value RSP,PEN million,Current Prices,967.8,"1,037.3","1,043.9",886.9,"1,145.5","1,317.4","1,509.0"
Peru,RTD Coffee,Off-trade Volume,million litres,-,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Peru,RTD Coffee,Off-trade Value RSP,PEN million,Current Prices,2.3,2.5,0.3,0.4,0.1,0.2,0.2
Peru,RTD Tea,Off-trade Volume,million litres,-,83.0,88.3,92.1,76.1,51.6,54.4,57.1
Peru,RTD Tea,Off-trade Value RSP,PEN million,Current Prices,467.5,516.9,583.2,506.8,286.3,296.0,327.7
Peru,Energy Drinks,Off-trade Volume,million litres,-,32.3,33.3,35.4,32.8,34.0,39.1,44.8
Peru,Energy Drinks,Off-trade Value RSP,PEN million,Current Prices,283.2,324.0,357.8,307.6,342.4,443.3,467.0
Peru,Sports Drinks,Off-trade Volume,million litres,-,140.6,136.3,136.6,117.8,216.9,217.0,224.0
Peru,Sports Drinks,Off-trade Value RSP,PEN million,Current Prices,649.6,663.0,690.6,617.7,981.7,"1,019.7","1,092.3"
Peru,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Peru,Asian Speciality Drinks,Off-trade Value RSP,PEN million,Current Prices,-,-,-,-,-,-,-
Uruguay,HW Soft Drinks - modelled,Retail Volume,million litres,-,323.3,341.2,340.5,351.5,377.6,395.3,408.4
Uruguay,HW Soft Drinks - modelled,Retail Value RSP,UYU million,Current Prices,"12,416.1","13,902.6","15,941.4","17,882.2","20,536.1","23,197.8","25,329.2"
Uruguay,Soft Drinks,Off-trade Volume,million litres,-,625.4,645.1,651.7,652.4,700.3,733.3,769.7
Uruguay,Soft Drinks,Off-trade Value RSP,UYU million,Current Prices,"25,029.6","27,462.2","31,181.3","34,163.7","39,503.8","45,403.5","50,793.3"
Uruguay,Bottled Water,Off-trade Volume,million litres,-,325.9,334.4,336.0,338.9,373.3,396.1,417.4
Uruguay,Bottled Water,Off-trade Value RSP,UYU million,Current Prices,"8,509.6","9,420.6","10,175.9","10,918.0","12,593.1","14,386.1","16,030.2"
Uruguay,Carbonates,Off-trade Volume,million litres,-,267.8,278.4,282.5,278.2,283.4,287.8,298.4
Uruguay,Carbonates,Off-trade Value RSP,UYU million,Current Prices,"12,636.8","13,778.2","16,177.7","17,456.6","19,199.3","21,716.9","23,864.8"
Uruguay,Regular Carbonates - modelled,Off-trade Volume,million litres,-,217.4,215.6,221.1,209.4,212.1,210.0,216.3
Uruguay,Regular Carbonates - modelled,Off-trade Value RSP,UYU million,Current Prices,"9,631.1","10,334.3","11,747.0","12,205.0","13,322.2","14,663.4","15,985.5"
Uruguay,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,50.4,62.8,61.4,68.8,71.3,77.8,82.1
Uruguay,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,UYU million,Current Prices,"3,005.6","3,444.0","4,430.8","5,251.6","5,877.0","7,053.5","7,879.3"
Uruguay,Concentrates,Off-trade Volume,million litres,-,0.7,0.7,0.8,0.8,0.8,0.8,0.8
Uruguay,Concentrates,Off-trade Value RSP,UYU million,Current Prices,"1,256.0","1,335.3","1,483.0","1,844.1","1,784.8","1,836.2","2,111.3"
Uruguay,Juice,Off-trade Volume,million litres,-,27.8,28.0,27.9,29.7,34.4,38.7,41.7
Uruguay,Juice,Off-trade Value RSP,UYU million,Current Prices,"2,237.9","2,427.1","2,612.7","3,072.7","3,858.0","4,740.2","5,409.4"
Uruguay,RTD Coffee,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Uruguay,RTD Coffee,Off-trade Value RSP,UYU million,Current Prices,-,-,-,-,-,-,-
Uruguay,RTD Tea,Off-trade Volume,million litres,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,RTD Tea,Off-trade Value RSP,UYU million,Current Prices,3.5,3.9,4.1,3.9,4.1,4.9,5.5
Uruguay,Energy Drinks,Off-trade Volume,million litres,-,0.5,0.8,1.3,1.5,4.5,5.6,6.7
Uruguay,Energy Drinks,Off-trade Value RSP,UYU million,Current Prices,142.4,225.6,378.4,476.6,"1,577.1","2,126.3","2,693.3"
Uruguay,Sports Drinks,Off-trade Volume,million litres,-,2.7,2.8,3.3,3.4,3.9,4.3,4.6
Uruguay,Sports Drinks,Off-trade Value RSP,UYU million,Current Prices,243.6,271.6,349.5,391.8,487.5,593.0,678.8
Uruguay,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Uruguay,Asian Speciality Drinks,Off-trade Value RSP,UYU million,Current Prices,-,-,-,-,-,-,-
Iraq,Soft Drinks,Off-trade Volume,million litres,-,"4,136.4","4,394.7","4,683.3","3,977.6","4,833.7","4,986.3","5,308.4"
Iraq,Soft Drinks,Off-trade Value RSP,IQD million,Current Prices,"2,522,794.5","2,846,258.9","3,122,144.3","2,692,284.0","3,401,852.6","3,996,655.9","4,568,261.3"
Iraq,Bottled Water,Off-trade Volume,million litres,-,"2,740.3","2,910.0","3,105.2","2,449.1","3,172.7","3,351.7","3,586.7"
Iraq,Bottled Water,Off-trade Value RSP,IQD million,Current Prices,"1,065,576.1","1,130,961.7","1,217,701.8","942,374.8","1,316,160.9","1,646,771.7","1,948,913.6"
Iraq,Carbonates,Off-trade Volume,million litres,-,"1,236.7","1,301.4","1,372.7","1,362.9","1,465.6","1,444.0","1,520.5"
Iraq,Carbonates,Off-trade Value RSP,IQD million,Current Prices,"1,067,701.1","1,260,817.7","1,399,916.6","1,353,471.8","1,561,520.0","1,746,443.3","1,921,189.5"
Iraq,Regular Carbonates - modelled,Off-trade Volume,million litres,-,"1,014.7","1,059.5","1,109.7","1,097.0","1,185.4","1,170.4","1,228.4"
Iraq,Regular Carbonates - modelled,Off-trade Value RSP,IQD million,Current Prices,"838,894.2","977,251.7","1,067,383.1","1,018,748.8","1,183,983.1","1,316,999.7","1,450,326.0"
Iraq,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,222.0,241.9,263.1,265.9,280.3,273.6,292.1
Iraq,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,IQD million,Current Prices,"228,806.9","283,566.0","332,533.5","334,723.0","377,536.9","429,443.6","470,863.5"
Iraq,Concentrates,Off-trade Volume,million litres,-,2.6,2.7,2.8,2.0,2.4,2.5,2.7
Iraq,Concentrates,Off-trade Value RSP,IQD million,Current Prices,"33,227.0","35,165.5","37,205.1","26,718.1","37,777.7","45,262.4","51,430.4"
Iraq,Juice,Off-trade Volume,million litres,-,137.4,158.3,178.1,145.1,169.0,163.9,172.3
Iraq,Juice,Off-trade Value RSP,IQD million,Current Prices,"266,524.4","316,385.0","352,377.3","281,901.8","367,294.4","419,154.5","488,013.5"
Iraq,RTD Coffee,Off-trade Volume,million litres,-,1.7,2.1,2.5,1.6,2.1,2.0,2.2
Iraq,RTD Coffee,Off-trade Value RSP,IQD million,Current Prices,"8,221.9","10,758.4","15,060.0","9,558.6","14,289.1","17,098.4","19,172.0"
Iraq,RTD Tea,Off-trade Volume,million litres,-,2.0,2.1,2.3,1.2,1.8,1.7,1.8
Iraq,RTD Tea,Off-trade Value RSP,IQD million,Current Prices,"3,983.4","4,283.0","4,615.7","2,258.5","3,691.0","4,666.2","5,332.5"
Iraq,Energy Drinks,Off-trade Volume,million litres,-,13.4,15.8,17.3,14.3,17.9,18.5,19.9
Iraq,Energy Drinks,Off-trade Value RSP,IQD million,Current Prices,"67,284.0","76,888.7","83,886.0","69,222.7","89,726.5","103,526.4","118,155.3"
Iraq,Sports Drinks,Off-trade Volume,million litres,-,2.2,2.3,2.4,1.5,2.2,2.1,2.3
Iraq,Sports Drinks,Off-trade Value RSP,IQD million,Current Prices,"10,276.6","10,998.9","11,381.8","6,777.9","11,392.9","13,733.0","16,054.6"
Iraq,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Iraq,Asian Speciality Drinks,Off-trade Value RSP,IQD million,Current Prices,-,-,-,-,-,-,-
Israel,HW Soft Drinks,Retail Volume,million litres,-,535.7,551.5,560.2,597.0,608.8,617.8,623.0
Israel,HW Soft Drinks,Retail Value RSP,ILS million,Current Prices,"2,342.5","2,447.8","2,549.7","2,728.2","2,812.3","2,922.4","3,025.5"
Israel,Soft Drinks,Off-trade Volume,million litres,-,"1,125.6","1,126.0","1,122.1","1,157.9","1,170.9","1,075.1","1,060.0"
Israel,Soft Drinks,Off-trade Value RSP,ILS million,Current Prices,"5,075.6","5,165.6","5,277.4","5,442.0","5,669.0","6,168.8","6,259.0"
Israel,Bottled Water,Off-trade Volume,million litres,-,406.2,430.2,442.2,461.9,470.1,473.0,478.9
Israel,Bottled Water,Off-trade Value RSP,ILS million,Current Prices,902.2,983.5,"1,039.5","1,058.9","1,138.1","1,188.2","1,233.9"
Israel,Carbonates,Off-trade Volume,million litres,-,469.6,454.0,444.2,463.9,466.5,398.9,385.5
Israel,Carbonates,Off-trade Value RSP,ILS million,Current Prices,"2,394.2","2,380.8","2,405.4","2,484.1","2,539.7","2,775.2","2,790.6"
Israel,Regular Carbonates,Off-trade Volume,million litres,-,313.0,304.3,297.9,298.1,295.7,242.2,232.2
Israel,Regular Carbonates,Off-trade Value RSP,ILS million,Current Prices,"1,655.2","1,656.4","1,673.4","1,663.1","1,675.4","1,805.8","1,789.5"
Israel,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,156.6,149.6,146.4,165.8,170.8,156.7,153.2
Israel,Reduced Sugar Carbonates,Off-trade Value RSP,ILS million,Current Prices,739.1,724.4,731.9,821.0,864.3,969.5,"1,001.0"
Israel,Concentrates,Off-trade Volume,million litres,-,13.2,12.9,12.5,13.7,12.8,9.9,9.0
Israel,Concentrates,Off-trade Value RSP,ILS million,Current Prices,173.2,166.3,159.3,175.8,165.3,195.4,194.1
Israel,Juice,Off-trade Volume,million litres,-,155.6,150.3,145.3,139.4,140.5,119.4,117.2
Israel,Juice,Off-trade Value RSP,ILS million,Current Prices,785.4,794.4,806.4,818.3,855.9,923.5,939.8
Israel,RTD Coffee,Off-trade Volume,million litres,-,0.7,0.9,1.2,1.1,1.2,1.3,1.4
Israel,RTD Coffee,Off-trade Value RSP,ILS million,Current Prices,16.2,21.8,30.9,27.6,30.5,35.2,38.2
Israel,RTD Tea,Off-trade Volume,million litres,-,47.6,44.0,41.5,38.2,36.5,31.6,28.1
Israel,RTD Tea,Off-trade Value RSP,ILS million,Current Prices,319.4,299.9,285.8,263.4,262.6,274.6,272.8
Israel,Energy Drinks,Off-trade Volume,million litres,-,32.5,33.4,34.5,39.1,42.5,40.2,38.9
Israel,Energy Drinks,Off-trade Value RSP,ILS million,Current Prices,476.8,508.6,535.9,599.9,658.5,753.1,762.9
Israel,Sports Drinks,Off-trade Volume,million litres,-,0.4,0.5,0.7,0.6,0.8,0.9,1.0
Israel,Sports Drinks,Off-trade Value RSP,ILS million,Current Prices,8.0,10.3,14.3,13.9,18.3,23.5,26.6
Israel,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Israel,Asian Speciality Drinks,Off-trade Value RSP,ILS million,Current Prices,-,-,-,-,-,-,-
Jordan,Soft Drinks,Off-trade Volume,million litres,-,"1,635.5","1,677.4","1,724.5","2,120.9","2,323.7","2,445.8","2,588.2"
Jordan,Soft Drinks,Off-trade Value RSP,JOD million,Current Prices,"1,518.6","1,621.3","1,732.1","1,331.6","1,455.0","1,581.6","1,695.3"
Jordan,Bottled Water,Off-trade Volume,million litres,-,"1,309.2","1,360.1","1,417.5","1,823.8","2,014.2","2,125.0","2,252.7"
Jordan,Bottled Water,Off-trade Value RSP,JOD million,Current Prices,"1,057.7","1,184.0","1,301.0",947.5,"1,046.4","1,151.1","1,245.6"
Jordan,Carbonates,Off-trade Volume,million litres,-,257.5,243.2,228.6,223.3,229.0,236.9,248.7
Jordan,Carbonates,Off-trade Value RSP,JOD million,Current Prices,284.4,251.8,236.8,228.6,225.4,233.8,239.3
Jordan,Regular Carbonates - modelled,Off-trade Volume,million litres,-,242.1,229.0,215.8,211.1,217.0,224.9,236.6
Jordan,Regular Carbonates - modelled,Off-trade Value RSP,JOD million,Current Prices,267.3,237.1,223.4,216.1,213.6,222.1,227.7
Jordan,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,15.5,14.2,12.9,12.2,12.0,12.0,12.2
Jordan,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,JOD million,Current Prices,17.1,14.7,13.4,12.5,11.8,11.8,11.6
Jordan,Concentrates,Off-trade Volume,million litres,-,1.9,1.9,1.9,1.9,1.8,1.8,1.8
Jordan,Concentrates,Off-trade Value RSP,JOD million,Current Prices,19.0,18.9,19.1,19.0,18.2,18.5,19.4
Jordan,Juice,Off-trade Volume,million litres,-,51.3,56.0,59.6,58.8,64.7,67.5,69.6
