,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pack Type | Historical/Forecast,,,,,,,,,,,,
Geography,Category,Packaging Class,Pack Type,Data Type,Unit,2017,2018,2019,2020,2021,2022,2023
Mexico,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,642.5","1,688.5","1,715.0","1,703.7","1,735.8","1,849.1","1,953.9"
South Korea,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,76.7,78.0,72.7,68.4,64.8,62.8,61.3
Switzerland,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,172.4,177.5,174.9,178.1,180.8,183.4,185.5
Canada,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,872.7,860.0,849.2,856.3,852.3,834.0,820.3
Brazil,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"2,225.1","2,206.6","2,228.0","2,178.5","2,361.9","2,503.6","2,594.6"
Argentina,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,508.4,474.0,385.5,339.4,361.7,405.0,428.4
Austria,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,165.7,159.6,156.8,153.8,155.8,157.4,153.0
Australia,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,890.0,898.4,911.4,924.7,947.0,949.9,946.4
Belgium,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,181.5,178.0,169.5,180.8,175.3,171.4,167.8
Colombia,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,699.8,709.9,698.5,678.0,803.4,928.6,849.5
Germany,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,590.8","1,572.0","1,519.5","1,578.3","1,594.7","1,561.2","1,571.0"
China,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"8,734.2","8,490.6","8,287.1","7,231.9","7,211.4","6,947.0","6,884.6"
Chile,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,553.7,574.6,594.1,464.6,613.1,770.6,782.7
Denmark,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,107.4,107.1,106.6,109.4,108.9,110.4,111.5
Spain,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,618.9,589.5,625.4,624.5,608.6,608.8,598.9
Finland,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,298.3,296.0,283.4,283.0,280.6,273.6,269.2
Finland,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,290.4,287.2,274.6,273.9,271.4,264.3,260.0
Spain,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,448.1,431.5,478.7,482.5,472.5,475.5,472.6
Denmark,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,98.0,97.5,96.8,99.2,98.5,99.5,100.1
Chile,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,451.7,464.7,476.5,368.8,481.8,600.4,601.8
China,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"8,636.7","8,384.3","8,176.5","7,135.7","7,114.4","6,835.5","6,756.5"
Germany,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,101.7","1,072.2","1,027.7","1,062.5","1,071.9","1,044.8","1,042.9"
Colombia,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,699.3,709.3,697.8,677.3,802.7,927.9,848.8
Belgium,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,167.5,164.2,156.3,166.2,160.9,157.2,154.0
Australia,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,471.0,470.1,480.6,483.5,489.5,495.2,494.5
Austria,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,140.5,135.3,133.2,131.0,132.8,133.1,129.6
Argentina,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,440.4,415.3,336.1,296.1,311.8,346.3,365.0
Brazil,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,557.5","1,515.9","1,507.2","1,432.4","1,527.5","1,593.7","1,625.1"
Switzerland,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,145.8,150.1,146.9,149.0,150.9,153.1,154.7
Canada,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,454.8,457.7,461.5,471.0,470.5,453.3,444.0
South Korea,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,30.4,33.4,32.9,31.2,31.0,30.8,31.0
Mexico,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,966.4,977.1,990.8,962.2,987.2,"1,087.0","1,166.9"
Japan,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"3,924.8","3,949.1","3,902.7","3,646.0","3,598.4","3,447.3","3,334.9"
Italy,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,686.0,621.7,563.7,517.2,477.1,463.6,450.8
Netherlands,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,533.6,529.2,501.2,509.8,503.0,482.0,493.2
Malaysia,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,283.9,293.2,305.3,311.3,294.6,302.2,303.8
New Zealand,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,27.7,28.3,28.8,30.9,30.9,30.9,30.7
Norway,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,154.0,155.7,149.3,158.4,157.4,152.7,148.3
Israel,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,10.6,10.6,10.5,10.8,11.0,9.6,9.4
Ireland,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,54.9,55.3,55.9,56.7,57.2,57.0,57.1
India,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,384.8","1,544.2","1,766.8","1,891.7","2,107.6","2,297.6","2,498.3"
Indonesia,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,905.3","1,896.7","1,932.1","1,615.4","1,564.0","1,615.0","1,661.9"
United Kingdom,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,252.9","1,179.6","1,145.3","1,124.4","1,105.4","1,071.6","1,032.5"
France,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,719.4,674.0,595.1,569.7,547.3,518.6,487.8
Greece,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,100.9,99.2,98.2,110.1,111.4,102.8,99.7
"Hong Kong, China",Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,369.3,373.2,373.5,357.5,365.1,371.6,401.3
Peru,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,440.1,430.2,418.5,379.4,393.7,431.8,453.5
Portugal,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,222.9,223.8,224.0,229.9,242.0,244.3,245.8
Philippines,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,96.7,96.9,95.7,89.9,88.4,91.5,96.1
Sweden,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,207.0,210.6,195.8,184.8,179.1,176.0,173.2
Saudi Arabia,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,811.2","1,851.4","1,838.0","1,630.4","1,551.2","1,550.6","1,539.0"
Singapore,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,95.5,92.0,92.0,93.4,97.9,98.2,101.9
Thailand,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,484.7,428.5,420.2,378.4,375.8,397.5,419.6
Turkey,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,100.4",993.6,937.6,909.6,904.2,845.2,830.1
Vietnam,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,64.0,74.6,84.2,90.1,96.0,103.6,111.3
United Arab Emirates,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,421.0,422.5,437.8,392.1,406.8,418.5,420.5
Taiwan,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,702.0,666.0,649.7,649.5,625.2,619.0,613.9
Venezuela,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,95.9,80.9,56.2,39.5,42.6,51.9,54.8
USA,Soft Drinks Packaging,Total,Brick Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,496.2","1,483.8","1,478.4","1,528.3","1,518.1","1,482.1","1,454.3"
USA,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,734.6,716.6,695.2,699.8,722.4,750.0,775.2
Taiwan,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,404.8,394.8,392.8,401.4,396.8,401.7,406.4
United Arab Emirates,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,2.1,2.1,2.1,2.1,2.2,2.2,2.3
Turkey,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,4.0,3.8,3.7,3.5,3.7,5.2,6.0
Singapore,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,29.3,28.0,27.1,26.8,26.1,24.4,23.2
Thailand,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,30.4,30.0,28.3,24.7,23.1,24.5,26.4
Sweden,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,88.4,95.5,94.7,94.6,95.0,96.0,97.1
Portugal,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,31.2,31.9,32.4,33.7,36.6,37.4,37.8
Peru,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,3.1,3.1,3.1,2.9,3.0,3.4,3.6
"Hong Kong, China",Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,11.4,11.4,11.1,10.6,11.1,11.0,11.3
Indonesia,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,2.1,2.2,2.3,2.0,2.0,2.0,2.1
Greece,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,10.6,10.4,10.1,11.3,11.2,10.0,9.6
France,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,169.6,171.9,172.7,166.7,162.0,148.7,141.1
United Kingdom,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,223.8,215.4,214.4,216.4,214.8,214.0,210.3
Ireland,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,1.9,2.0,2.2,2.4,2.5,2.7,2.9
Italy,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,55.4,53.3,52.5,53.2,51.7,50.8,50.0
New Zealand,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,0.0,0.0,0.0,0.1,0.1,0.2,0.5
Malaysia,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,30.7,31.0,31.3,33.6,32.1,31.9,32.0
Netherlands,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,15.3,15.4,15.4,15.4,15.3,14.8,15.0
Japan,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,"2,176.3","2,256.2","2,127.5","2,034.8","2,058.3","2,131.1","2,143.3"
Mexico,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,498.7,508.7,510.4,525.4,521.2,522.0,532.9
South Korea,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,0.7,0.6,0.5,0.4,0.3,0.5,0.6
Switzerland,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,3.5,3.3,3.1,3.2,3.2,2.9,2.7
Brazil,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,10.9,11.4,11.9,12.0,12.8,13.2,13.2
Canada,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,299.2,293.2,287.1,282.7,284.4,284.2,282.3
Argentina,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,52.2,47.6,38.7,33.5,38.6,46.1,49.7
Austria,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,5.4,5.2,5.0,4.8,4.8,5.2,5.1
Australia,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,224.0,225.5,225.5,232.3,250.5,251.0,251.7
Belgium,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,13.9,13.8,13.2,14.6,14.4,14.2,13.8
Colombia,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Germany,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,149.9,147.9,143.6,143.7,140.6,135.7,131.9
China,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,51.0,53.1,55.2,49.0,48.7,46.5,45.1
Chile,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,19.4,19.3,19.7,17.2,22.6,28.1,30.9
Denmark,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,7.6,7.7,7.7,8.0,8.1,8.4,8.7
Spain,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,32.6,33.2,33.9,34.6,36.9,37.3,38.0
Finland,Soft Drinks Packaging,Total,Gable Top Liquid Cartons,Retail/off-trade Unit Volume,million units,3.0,3.2,3.2,3.3,3.5,3.6,3.6
Finland,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,4.9,5.6,5.6,5.7,5.7,5.7,5.7
Spain,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,138.3,124.8,112.7,107.4,99.2,96.0,88.3
Denmark,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,1.8,1.9,2.1,2.2,2.3,2.5,2.7
Chile,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,82.6,90.6,97.8,78.6,108.6,142.2,149.9
China,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,46.5,53.2,55.4,47.2,48.3,65.1,82.9
Germany,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,339.1,351.9,348.2,372.1,382.2,380.7,396.2
Colombia,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,0.4,0.5,0.6,0.6,0.6,0.7,0.7
Australia,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,195.0,202.8,205.3,208.8,207.0,203.7,200.2
Austria,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,19.8,19.1,18.6,18.0,18.2,19.1,18.3
Argentina,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,15.7,11.1,10.7,9.9,11.3,12.5,13.6
Brazil,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,656.8,679.3,708.9,734.1,821.6,896.8,956.3
Switzerland,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,23.1,24.1,24.9,25.9,26.8,27.4,28.1
Canada,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,118.7,109.2,100.6,102.6,97.5,96.4,94.1
South Korea,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,45.6,44.0,39.4,36.8,33.5,31.5,29.7
Mexico,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,177.4,202.7,213.8,216.0,227.3,240.1,254.2
Japan,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,11.4,13.6,9.8,7.2,5.5,4.3,3.6
Italy,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,211.7,217.9,224.7,230.5,239.1,246.9,254.1
Netherlands,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,13.3,13.8,20.0,19.0,19.1,18.9,19.4
Malaysia,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,0.8,0.9,1.0,1.1,1.0,1.0,1.1
New Zealand,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,4.1,4.2,4.3,4.5,4.5,4.2,4.1
Norway,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,0.5,0.6,0.5,0.4,0.3,0.3,0.3
Israel,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,0.1,0.2,0.3,0.4,0.4,0.3,0.3
Ireland,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,3.1,3.7,4.3,4.5,4.7,4.8,5.0
India,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,503.0","1,619.3","1,736.2","1,816.7","1,989.1","2,342.6","2,606.5"
Indonesia,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,342.9,367.5,357.4,317.0,336.0,385.2,446.6
United Kingdom,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,108.4,107.3,109.2,110.8,119.4,125.8,131.4
France,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,22.2,25.3,28.5,25.6,25.0,23.8,22.7
Greece,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,55.2,54.8,54.8,62.3,64.3,60.9,61.0
"Hong Kong, China",Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,1.4,1.3,1.2,0.9,1.1,0.9,0.9
Peru,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,27.2,29.8,33.2,32.6,40.6,52.6,66.6
Portugal,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,113.2,120.7,127.2,135.7,149.6,157.6,162.7
Philippines,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,4.5,5.3,6.0,5.4,5.8,6.5,6.9
Sweden,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,17.4,18.1,18.6,18.2,18.3,18.5,18.8
Singapore,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,10.3,10.9,11.2,11.3,11.5,11.4,11.4
Thailand,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,27.1,26.4,27.9,25.3,25.5,26.9,29.0
Turkey,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,293.7,271.0,261.3,254.3,262.1,252.8,252.4
United Arab Emirates,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,27.4,27.9,30.1,29.0,30.9,32.5,34.4
Taiwan,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,69.2,74.7,82.9,91.7,96.6,105.2,115.2
USA,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,268.1,254.3,251.3,281.3,266.4,257.8,244.5
Venezuela,Soft Drinks Packaging,Total,Shaped Liquid Cartons,Retail/off-trade Unit Volume,million units,133.0,110.7,75.8,50.1,47.4,55.9,55.9
Venezuela,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,64.4,54.7,44.2,36.1,39.0,46.5,49.6
Vietnam,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"2,282.2","2,444.2","2,618.3","2,746.0","2,847.0","3,048.9","3,233.7"
United Arab Emirates,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,724.8,677.6,661.5,639.3,660.7,676.5,694.1
USA,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"54,877.4","56,639.6","58,189.3","59,881.2","60,835.5","59,439.8","59,358.8"
Taiwan,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,717.4,690.8,672.7,662.3,648.3,641.1,633.4
Turkey,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"1,680.1","1,909.8","2,141.1","2,336.3","2,641.8","2,974.7","3,224.8"
Singapore,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,270.2,263.7,266.1,264.6,272.0,273.5,278.3
Thailand,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"2,357.3","2,360.8","2,483.5","2,444.4","2,362.5","2,538.1","2,743.5"
Sweden,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,832.5,930.4,"1,014.4","1,016.6","1,104.1","1,159.6","1,224.6"
Saudi Arabia,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"4,872.8","3,858.7","3,424.4","3,413.0","3,425.8","3,508.1","3,587.3"
Portugal,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,322.2,317.8,314.0,326.0,345.2,343.0,343.0
Peru,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,519.5,512.7,508.6,445.9,445.2,483.2,514.4
Indonesia,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"1,310.3","1,228.0","1,125.8",895.1,891.5,910.1,921.4
"Hong Kong, China",Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,374.5,358.4,350.8,313.6,326.0,320.0,311.9
United Kingdom,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"3,794.1","3,853.1","3,992.3","4,295.3","4,409.1","4,502.8","4,590.0"
Greece,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,313.3,319.4,345.0,403.1,427.1,420.0,411.9
Ireland,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,129.2,130.6,133.3,140.3,151.4,156.1,161.2
Italy,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"1,168.7","1,132.6","1,131.2","1,027.5","1,085.5","1,092.2","1,093.8"
India,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,635.4,655.0,678.5,564.0,632.6,718.5,809.7
Israel,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,880.8,858.3,845.4,882.2,898.7,782.7,756.8
New Zealand,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,225.0,230.0,235.0,266.6,300.6,315.9,323.0
Norway,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,309.9,311.7,333.2,424.1,480.7,466.3,460.0
Philippines,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,357.6,376.2,391.5,363.1,375.2,411.3,447.6
Malaysia,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"2,040.9","2,015.1","2,009.7","1,943.9","1,853.1","1,903.5","1,915.9"
Netherlands,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,921.2,952.2,"1,028.6","1,072.8","1,091.6","1,103.5","1,126.2"
Japan,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"16,296.1","15,776.2","15,593.9","14,046.2","14,053.5","13,667.2","13,447.1"
South Korea,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"3,571.2","3,725.1","3,609.8","3,683.1","3,923.5","4,227.2","4,292.4"
Mexico,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"3,767.2","3,727.0","3,791.3","3,680.8","3,783.6","4,031.0","4,248.4"
Switzerland,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,238.3,249.7,263.3,271.5,289.9,297.7,305.8
Brazil,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"2,661.2","2,726.1","2,882.0","2,963.2","3,403.9","3,863.9","4,267.2"
Canada,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"4,531.2","4,520.9","4,524.1","4,630.0","4,593.3","4,572.8","4,594.6"
Austria,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,381.2,406.4,423.8,447.0,466.6,471.4,480.5
Argentina,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,372.9,430.8,451.9,541.5,643.6,701.0,743.8
Australia,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"2,238.4","2,319.8","2,399.1","2,552.9","2,663.0","2,715.9","2,784.3"
Belgium,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,787.8,807.7,808.4,861.2,877.4,893.2,911.6
Colombia,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,315.8,322.9,320.9,337.9,404.7,469.3,498.0
Germany,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"1,541.1","1,725.0","1,866.4","2,048.6","2,112.0","2,205.4","2,292.0"
China,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,"17,469.8","17,897.1","18,490.7","17,426.1","18,543.5","19,312.5","20,137.2"
Chile,Soft Drinks Packaging,Total,Metal,Retail/off-trade Unit Volume,million units,297.4,315.2,354.8,395.9,520.3,620.6,718.8
