,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pack Type | Historical/Forecast,,,,,,,,,,,,
Geography,Category,Packaging Class,Pack Type,Data Type,Unit,2017,2018,2019,2020,2021,2022,2023
Philippines,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,"3,187.6","1,909.5","1,512.0","1,406.8","1,373.1","1,378.6","1,418.1"
New Zealand,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,25.7,24.3,23.5,23.8,27.2,25.8,24.6
Norway,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Netherlands,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,52.1,47.7,47.0,50.9,52.0,52.3,56.5
Malaysia,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,15.2,15.3,15.5,16.6,15.8,17.6,18.3
Mexico,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,"2,130.9","2,078.0","2,171.4","2,289.0","2,363.1","2,412.0","2,352.0"
South Korea,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,290.8,351.1,354.0,346.9,353.2,406.7,450.5
Japan,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,261.0,259.3,250.7,227.7,232.0,271.3,278.4
Italy,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,99.4,99.2,98.8,98.8,97.5,95.3,94.9
India,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,749.8,819.9,878.0,873.8,963.1,998.6,"1,051.0"
Greece,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,"1,045.8","1,011.7",963.3,892.6,928.5,959.7,990.7
Ireland,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,53.2,54.3,55.3,55.6,56.5,56.9,57.1
United Kingdom,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,560.8,538.6,520.8,483.7,491.6,485.1,474.0
France,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,159.4,164.3,144.6,137.6,138.2,141.3,152.9
Finland,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,10.4,10.4,8.8,9.5,10.5,11.7,13.6
Spain,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,4.7,8.4,13.1,15.0,16.2,19.1,21.1
Germany,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,536.1,514.1,498.0,511.8,479.4,455.1,449.1
Denmark,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,17.4,17.8,17.9,18.2,18.4,19.0,19.5
Colombia,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,"1,297.2","1,246.8","1,166.9","1,074.0","1,155.9","1,262.6","1,279.3"
Chile,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,626.5,608.6,598.2,646.7,605.6,680.2,741.9
China,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,770.2,729.8,708.8,615.3,586.6,556.4,539.7
Canada,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,332.4,321.4,307.6,299.0,292.5,284.0,274.4
Switzerland,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,5.6,5.5,5.3,5.2,4.9,4.6,4.4
Brazil,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,"5,698.4","5,662.4","5,595.2","5,740.4","5,873.8","6,002.2","5,899.3"
